x_axis;value
1;21,85
2;21,86
3;21,87
4;21,87
5;21,87
6;21,87
7;21,88
8;21,88
9;21,88
10;21,88
11;21,88
12;21,89
13;21,89
14;21,89
15;21,91
16;21,92
17;21,92
18;21,92
19;21,92
20;21,93
21;21,93
22;21,94
23;21,94
24;21,96
25;21,96
26;21,97
27;21,97
28;21,98
29;21,99
30;22
31;22
32;22,01
33;22,03
34;22,04
35;22,04
36;22,04
37;22,05
38;22,06
39;22,06
40;22,08
41;22,09
42;22,1
43;22,13
44;22,14
45;22,15
46;22,15
47;22,16
48;22,17
49;22,17
50;22,17
51;22,18
52;22,19
53;22,22
54;22,23
55;22,24
56;22,25
57;22,25
58;22,26
59;22,27
60;22,28
61;22,29
62;22,33
63;22,34
64;22,34
65;22,35
66;22,38
67;22,38
68;22,39
69;22,39
70;22,4
71;22,4
72;22,4
73;22,41
74;22,41
75;22,42
76;22,43
77;22,43
78;22,44
79;22,44
80;22,45
81;22,46
82;22,46
83;22,47
84;22,47
85;22,48
86;22,48
87;22,48
88;22,49
89;22,49
90;22,5
91;22,5
92;22,5
93;22,51
94;22,51
95;22,51
96;22,52
97;22,52
98;22,56
99;22,56
100;22,6
101;22,6
102;22,61
103;22,61
104;22,64
105;22,64
106;22,64
107;22,65
108;22,65
109;22,66
110;22,66
111;22,66
112;22,67
113;22,67
114;22,68
115;22,68
116;22,68
117;22,7
118;22,71
119;22,79
120;22,8
121;22,81
122;22,81
123;22,82
124;22,82
125;22,83
126;22,83
127;22,83
128;22,84
129;22,84
130;22,87
131;22,87
132;22,87
133;22,87
134;22,88
135;22,88
136;22,89
137;22,89
138;22,89
139;22,9
140;22,9
141;22,9
142;22,91
143;22,9
144;22,9
145;22,91
146;22,92
147;22,92
148;22,92
149;22,92
150;22,92
151;22,92
152;22,91
153;22,91
154;22,91
155;22,91
156;22,91
157;22,92
158;22,92
159;22,92
160;22,92
161;22,93
162;22,93
163;22,93
164;22,93
165;22,94
166;22,94
167;22,94
168;22,95
169;22,95
170;22,95
171;22,95
172;22,95
173;22,95
174;22,95
175;22,95
176;22,96
177;22,97
178;22,98
179;22,99
180;22,99
181;23,02
182;23,02
183;23,01
184;23,03
185;23,03
186;23,03
187;23,03
188;23,06
189;23,06
190;23,06
191;23,06
192;23,06
193;23,07
194;23,07
195;23,07
196;23,09
197;23,1
198;23,1
199;23,11
200;23,11
201;23,11
202;23,1
203;23,1
204;23,11
205;23,13
206;23,13
207;23,13
208;23,15
209;23,15
210;23,15
211;23,17
212;23,16
213;23,19
214;23,19
215;23,22
216;23,21
217;23,24
218;23,24
219;23,22
220;23,21
221;23,21
222;23,21
223;23,19
224;23,19
225;23,19
226;23,21
227;23,2
228;23,2
229;23,18
230;23,17
231;23,16
232;23,16
233;23,15
234;23,15
235;23,15
236;23,14
237;23,12
238;23,11
239;23,1
240;23,06
241;23,06
242;23,06
243;23,06
244;23,07
245;23,08
246;22,84
247;22,84
248;22,84
249;22,85
250;22,86
251;22,88
252;22,89
253;22,89
254;22,9
255;22,91
256;22,92
257;22,92
258;22,92
259;22,92
260;22,92
261;22,92
262;22,92
263;22,92
264;22,91
265;22,89
266;22,89
267;22,91
268;22,92
269;22,92
270;22,93
271;22,94
272;22,97
273;22,97
274;22,97
275;22,96
276;22,97
277;22,97
278;22,98
279;23
280;23
281;23,02
282;23,02
283;23,02
284;23,02
285;23,02
286;23,02
287;23,02
288;23,05
289;23,06
290;23,07
291;23,08
292;23,1
293;23,1
294;23,09
295;23,11
296;23,12
297;23,13
298;23,12
299;23,12
300;23,12
301;23,13
302;23,14
303;23,16
304;23,17
305;23,18
306;23,18
307;23,18
308;23,19
309;23,2
310;23,22
311;23,23
312;23,23
313;23,24
314;23,24
315;23,25
316;23,25
317;23,26
318;23,26
319;23,26
320;23,26
321;23,26
322;23,26
323;23,27
324;23,27
325;23,27
326;23,27
327;23,29
328;23,29
329;23,28
330;23,29
331;23,29
332;23,32
333;23,32
334;23,32
335;23,33
336;23,32
337;23,32
338;23,32
339;23,32
340;23,31
341;23,32
342;23,32
343;23,33
344;23,34
345;23,34
346;23,34
347;23,35
348;23,36
349;23,36
350;23,37
351;23,37
352;23,37
353;23,37
354;23,37
355;23,37
356;23,37
357;23,37
358;23,37
359;23,37
360;23,36
361;23,37
362;23,37
363;23,37
364;23,38
365;23,48
366;23,47
367;23,47
368;23,48
369;23,49
370;23,49
371;23,49
372;23,49
373;23,49
374;23,48
375;23,48
376;23,48
377;23,48
378;23,47
379;23,48
380;23,48
381;23,48
382;23,48
383;23,48
384;23,48
385;23,47
386;23,47
387;23,47
388;23,47
389;23,57
390;23,58
391;23,59
392;23,6
393;22,92
394;22,93
395;22,94
396;22,94
397;22,94
398;22,94
399;22,95
400;22,95
401;22,95
402;22,95
403;22,95
404;22,95
405;22,96
406;22,96
407;22,99
408;22,99
409;22,99
410;22,99
411;22,99
412;22,99
413;22,99
414;23
415;23
416;23
417;23
418;23
419;23
420;23
421;23
422;23,01
