x_axis;value
1;21,79
2;21,81
3;21,82
4;21,82
5;21,82
6;21,83
7;21,84
8;21,84
9;21,84
10;21,85
11;21,85
12;21,85
13;21,86
14;21,86
15;21,92
16;21,92
17;21,93
18;21,94
19;21,94
20;21,95
21;21,95
22;21,97
23;21,97
24;22,01
25;22,02
26;22,02
27;22,03
28;22,05
29;22,08
30;22,09
31;22,09
32;22,1
33;22,13
34;22,15
35;22,16
36;22,16
37;22,18
38;22,19
39;22,2
40;22,23
41;22,24
42;22,25
43;22,29
44;22,31
45;22,31
46;22,32
47;22,33
48;22,34
49;22,34
50;22,35
51;22,35
52;22,38
53;22,4
54;22,42
55;22,44
56;22,45
57;22,46
58;22,46
59;22,48
60;22,49
61;22,49
62;22,54
63;22,55
64;22,56
65;22,57
66;22,59
67;22,6
68;22,6
69;22,6
70;22,61
71;22,62
72;22,62
73;22,63
74;22,63
75;22,64
76;22,65
77;22,66
78;22,66
79;22,67
80;22,68
81;22,68
82;22,68
83;22,69
84;22,69
85;22,69
86;22,7
87;22,7
88;22,71
89;22,71
90;22,71
91;22,72
92;22,72
93;22,72
94;22,73
95;22,73
96;22,73
97;22,74
98;22,77
99;22,78
100;22,81
101;22,82
102;22,82
103;22,82
104;22,82
105;22,82
106;22,82
107;22,81
108;22,8
109;22,8
110;22,8
111;22,8
112;22,79
113;22,79
114;22,79
115;22,78
116;22,77
117;22,77
118;22,77
119;22,54
120;22,54
121;22,52
122;22,52
123;22,52
124;22,52
125;22,52
126;22,52
127;22,52
128;22,52
129;22,52
130;22,55
131;22,56
132;22,56
133;22,57
134;22,58
135;22,58
136;22,58
137;22,59
138;22,59
139;22,61
140;22,61
141;22,63
142;22,64
143;22,66
144;22,67
145;22,7
146;22,72
147;22,73
148;22,73
149;22,74
150;22,74
151;22,75
152;22,75
153;22,77
154;22,77
155;22,78
156;22,78
157;22,79
158;22,81
159;22,81
160;22,82
161;22,82
162;22,82
163;22,83
164;22,83
165;22,83
166;22,84
167;22,84
168;22,86
169;22,86
170;22,86
171;22,87
172;22,87
173;22,88
174;22,88
175;22,89
176;22,89
177;22,91
178;22,93
179;22,94
180;22,94
181;22,96
182;22,96
183;22,97
184;22,99
185;22,99
186;22,99
187;23
188;23,02
189;23,03
190;23,03
191;23,03
192;23,04
193;23,04
194;23,03
195;23,03
196;23,03
197;23,02
198;23,03
199;23,03
200;23,03
201;23,03
202;23,03
203;23,03
204;23,04
205;23,05
206;23,05
207;23,06
208;23,07
209;23,08
210;23,08
211;23,1
212;23,12
213;23,13
214;23,14
215;23,19
216;23,22
217;23,23
218;23,24
219;23,24
220;23,23
221;23,21
222;23,21
223;23,19
224;23,13
225;23,12
226;23,11
227;23,1
228;23,1
229;23,09
230;23,09
231;23,09
232;23,1
233;23,1
234;23,1
235;23,08
236;23,08
237;23,06
238;23,05
239;23,03
240;22,93
241;22,91
242;22,9
243;22,89
244;22,88
245;22,87
246;22,59
247;22,59
248;22,6
249;22,61
250;22,62
251;22,63
252;22,64
253;22,65
254;22,66
255;22,67
256;22,7
257;22,71
258;22,72
259;22,73
260;22,74
261;22,77
262;22,78
263;22,78
264;22,78
265;22,8
266;22,8
267;22,81
268;22,82
269;22,82
270;22,83
271;22,84
272;22,89
273;22,9
274;22,91
275;22,92
276;22,94
277;22,95
278;22,96
279;22,99
280;22,99
281;23
282;23
283;23
284;23
285;23,01
286;23,01
287;23,01
288;23
289;23,01
290;23,01
291;23,02
292;23,03
293;23,03
294;23,05
295;23,06
296;23,07
297;23,07
298;23,07
299;23,08
300;23,08
301;23,09
302;23,1
303;23,09
304;23,1
305;23,13
306;23,13
307;23,14
308;23,16
309;23,17
310;23,18
311;23,18
312;23,18
313;23,2
314;23,21
315;23,21
316;23,21
317;23,21
318;23,21
319;23,22
320;23,23
321;23,22
322;23,22
323;23,23
324;23,23
325;23,23
326;23,24
327;23,24
328;23,24
329;23,25
330;23,25
331;23,25
332;23,26
333;23,26
334;23,26
335;23,26
336;23,26
337;23,26
338;23,26
339;23,26
340;23,27
341;23,26
342;23,27
343;23,27
344;23,27
345;23,27
346;23,27
347;23,27
348;23,28
349;23,28
350;23,29
351;23,29
352;23,29
353;23,28
354;23,29
355;23,29
356;23,29
357;23,29
358;23,29
359;23,29
360;23,3
361;23,3
362;23,3
363;23,3
364;23,31
365;23,17
366;23,18
367;23,18
368;23,21
369;23,29
370;23,29
371;23,29
372;23,29
373;23,3
374;23,3
375;23,29
376;23,29
377;23,28
378;23,28
379;23,29
380;23,29
381;23,29
382;23,29
383;23,3
384;23,3
385;23,3
386;23,3
387;23,3
388;23,3
389;23,46
390;23,49
391;23,52
392;23,54
393;23,14
394;23,19
395;23,2
396;23,21
397;23,22
398;23,22
399;23,23
400;23,24
401;23,24
402;23,24
403;23,25
404;23,25
405;23,25
406;23,25
407;23,24
408;23,24
409;23,24
410;23,24
411;23,24
412;23,24
413;23,23
414;23,23
415;23,23
416;23,23
417;23,23
418;23,22
419;23,22
420;23,22
421;23,21
422;23,21
423;23,21
424;23,21
425;23,21
426;23,21
427;23,2
428;23,2
429;23,2
430;23,2
431;23,18
432;23,18
433;23,18
434;23,18
435;23,18
436;23,18
437;23,18
438;23,17
439;23,17
440;23,17
441;23,16
442;23,16
443;23,12
444;23,13
445;23,13
446;23,13
447;23,13
448;23,13
449;23,13
450;23,13
451;23,14
452;23,14
453;23,14
454;23,14
455;23,14
456;23,14
457;23,14
458;23,14
459;23,15
460;23,14
461;23,15
462;23,15
463;23,15
464;23,15
465;23,17
466;23,17
467;23,17
468;23,17
469;23,17
470;23,17
471;23,17
472;23,17
473;23,17
474;23,17
475;23,17
476;23,17
477;23,17
478;23,17
479;23,17
480;23,17
481;23,18
482;23,19
483;23,19
484;23,19
485;23,19
486;23,19
487;23,19
488;23,19
489;23,19
490;23,2
491;23,2
492;23,2
493;23,2
494;23,2
495;23,21
496;23,21
497;23,22
498;23,22
499;23,22
500;23,22
501;23,22
502;23,22
503;23,23
504;23,23
505;23,23
506;23,23
507;23,23
508;23,24
509;23,24
510;23,24
511;23,24
512;23,24
513;23,25
514;23,25
515;23,25
516;23,25
517;23,25
518;23,25
519;23,26
520;23,26
521;23,26
522;23,27
523;23,27
524;23,27
525;23,27
526;23,27
527;23,27
528;23,28
529;23,28
530;23,28
531;23,28
532;23,28
533;23,28
534;23,29
535;23,29
536;23,29
537;23,3
538;23,3
539;23,3
540;23,3
541;23,31
542;23,32
543;23,32
544;23,32
545;23,33
546;23,33
547;23,33
548;23,33
549;23,33
550;23,33
551;23,33
552;23,34
553;23,34
554;23,34
555;23,35
556;23,35
557;23,35
558;23,38
559;23,38
560;23,38
561;23,38
562;23,38
563;23,38
564;23,38
565;23,38
566;23,37
567;23,37
568;23,37
569;23,37
570;23,38
571;23,38
572;23,37
573;23,38
574;23,38
575;23,38
576;23,38
577;23,38
578;23,39
579;23,39
580;23,39
581;23,39
582;23,39
583;23,4
584;23,4
585;23,4
586;23,4
587;23,4
588;23,4
589;23,41
590;23,41
591;23,41
592;23,41
593;23,41
594;23,42
595;23,42
596;23,42
597;23,42
598;23,42
599;23,42
600;23,43
601;23,44
602;23,45
603;23,45
604;23,45
605;23,45
606;23,45
607;23,46
608;23,46
609;23,46
610;23,46
611;23,47
612;23,47
613;23,48
614;23,48
615;23,48
616;23,48
617;23,49
618;23,52
619;23,52
620;23,53
621;23,54
622;23,54
623;23,54
624;23,55
625;23,55
626;23,57
627;23,58
628;23,58
629;23,58
630;23,58
631;23,58
632;23,59
633;23,61
634;23,61
635;23,61
636;23,61
637;23,61
638;23,62
639;23,62
640;23,62
641;23,62
642;23,62
643;23,63
644;23,63
645;23,63
646;23,64
647;23,64
648;23,64
649;23,65
650;23,65
651;23,65
652;23,65
653;23,66
654;23,66
655;23,66
656;23,66
657;23,66
658;23,68
659;23,68
660;23,69
661;23,69
662;23,7
