Datum;UhrZeit;MesswertCount;Nennvolumen;VolumenAktuelleMessung;MlVolumen;WaagenWert;ZWert;WasserTemperatur;LuftDruck;GeraeteArt;SnDisplay;RevDisplay;SnBasis;RevBasis;Fac;FacNeu;Offset;OffsetNeu;Ut;SpeedUp;SpeedDown;Pruefzeit;PcName;UserName
24.06.2021;10:52:36;1;10ml;1;1,03399824;1,0307;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:00:57;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:52:44;2;10ml;1;1,03138992;1,0281;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:01:05;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:52:50;3;10ml;1;1,03088832;1,0276;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:01:12;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:52:57;4;10ml;1;1,03219248;1,0289;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:01:19;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:53:06;5;10ml;1;1,03339632;1,0301;1,0032;22,11;996,1;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:01:27;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:53:13;6;10ml;1;1,03550304;1,0322;1,0032;22,11;996,1;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;;00000381;2 ml/s;2 ml/s;00:01:34;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:53:34;1;10ml;1;5,01790608;5,0019;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:01:56;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:53:46;2;10ml;1;5,02141728;5,0054;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:02:07;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:53:58;3;10ml;1;5,01870864;5,0027;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:02:19;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:54:11;4;10ml;1;5,01941088;5,0034;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:02:32;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:54:26;5;10ml;1;5,01941088;5,0034;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:02:47;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:54:38;6;10ml;1;5,02412592;5,0081;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:02:59;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:54:58;1;10ml;1;10,02708432;9,9951;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:03:19;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:55:15;2;10ml;1;10,02959232;9,9976;1,0032;22,11;996,3;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:03:37;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:55:32;3;10ml;1;10,03009392;9,9981;1,0032;22,11;996,2;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:03:54;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:55:49;4;10ml;1;10,03119744;9,9992;1,0032;22,11;996,3;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:04:11;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
24.06.2021;10:56:06;5;10ml;1;10,03179936;9,9998;1,0032;22,11;996,1;dispenser;71105033;40001051;11106019;51001171;00033671;;00452000;00267790;00000381;2 ml/s;2 ml/s;00:04:27;DEEER-D134.HIRSCHMANN.LOCAL;HIRSCHMANN\v.greiner
