x_axis;value
1;1,00074
2;1,00084
3;1,00085
4;1,00085
5;1,00086
6;1,00085
7;1,00085
8;1,00084
9;1,00084
10;1,00084
11;1,00085
12;1,00086
13;1,00089
14;1,00088
15;1,00089
16;1,00089
17;1,00089
18;1,0009
19;1,00089
20;1,00089
21;1,00089
22;1,0009
23;1,0009
24;1,0009
25;1,00091
26;1,00092
27;1,00093
28;1,00093
29;1,00093
30;1,00095
31;1,00097
32;1,00097
33;1,00097
34;1,00098
35;1,00099
36;1,00098
37;1,00099
38;1,001
39;1,001
40;1,00102
41;1,00102
42;1,00105
43;1,00106
44;1,00107
45;1,00108
46;1,00111
47;1,00113
48;1,00112
49;1,00112
50;1,00112
51;1,00111
52;1,00111
53;1,0011
54;1,00111
55;1,00111
56;1,00117
57;1,00117
58;1,0012
59;1,0012
60;1,0012
61;1,00121
62;1,00121
63;1,00121
64;1,00121
65;1,00122
66;1,00123
67;1,00123
68;1,00124
69;1,00124
70;1,00124
71;1,00123
72;1,00124
73;1,00123
74;1,00123
75;1,00123
76;1,00123
77;1,00123
78;1,00124
79;1,00124
80;1,00124
81;1,00125
82;1,00125
83;1,00125
84;1,00125
85;1,00125
86;1,00125
87;1,00125
88;1,00125
89;1,0012
90;1,0012
91;1,00121
92;1,00122
93;1,0012
94;1,00122
95;1,00122
96;1,00122
97;1,00122
98;1,00123
99;1,00122
100;1,00123
101;1,00124
102;1,00126
103;1,00126
104;1,00126
105;1,00126
106;1,00126
107;1,00125
108;1,00125
109;1,0013
110;1,00131
111;1,00131
112;1,0013
113;1,0013
114;1,0013
115;1,00132
116;1,00133
117;1,00134
118;1,00134
119;1,00135
120;1,00135
121;1,00134
122;1,00134
123;1,00132
124;1,00132
125;1,00132
126;1,00131
127;1,00131
128;1,0013
129;1,00131
130;1,0013
131;1,00129
132;1,00126
133;1,00126
134;1,00126
135;1,0013
136;1,0013
137;1,00129
138;1,0013
139;1,00131
140;1,00132
141;1,00133
142;1,00131
143;1,00132
144;1,00131
145;1,00133
146;1,00134
147;1,00128
148;1,00127
149;1,00127
150;1,00126
151;1,00125
152;1,00126
153;1,00127
154;1,00129
155;1,00127
156;1,00126
157;1,00126
158;1,00127
159;1,00128
160;1,00128
161;1,00127
162;1,00126
163;1,00128
164;1,00127
165;1,00127
166;1,00125
167;1,00122
168;1,00123
169;1,00124
170;1,00123
171;1,00121
172;1,00119
173;1,00115
174;1,00114
175;1,00113
176;1,00114
177;1,00112
178;1,00112
179;1,00111
180;1,0011
181;1,00112
182;1,00111
183;1,00109
184;1,00115
185;1,00116
186;1,00115
187;1,00114
188;1,00112
189;1,00112
190;1,00111
191;1,0011
192;1,00109
193;1,00107
194;1,00109
195;1,00109
196;1,00108
197;1,00105
198;1,00105
199;1,00103
200;1,00102
201;1,00101
202;1,00102
203;1,00098
204;1,00093
205;1,00092
206;1,00092
207;1,00084
208;1,00085
209;1,00085
210;1,00087
211;1,00085
212;1,00081
213;1,00079
214;1,00074
215;1,00075
216;1,00073
217;1,00075
218;1,00071
219;1,00075
220;1,00073
221;1,00074
222;1,00076
223;1,00073
224;1,00071
225;1,0007
226;1,00067
227;1,00066
228;1,00068
229;1,00057
230;1,00058
231;1,00062
232;1,00047
233;1,00045
234;1,00041
235;1,00036
236;1,00035
237;1,00034
238;1,00033
239;1,00032
240;1,0003
241;1,00026
242;1,00023
243;1,00024
244;1,00026
245;1,00024
246;1,00025
247;1,00027
248;1,00024
249;1,00029
250;1,00018
251;1,00017
252;1,00012
253;1,0001
254;1,0001
255;1,00007
256;1,00005
257;1,00003
258;1,00006
259;1,00003
260;1
261;0,99996
262;0,99996
263;0,99997
264;0,99996
265;0,99996
266;0,99991
267;0,99993
268;0,9999
269;0,99991
270;0,99989
271;0,99987
272;0,99988
273;0,99984
274;0,99988
275;0,99985
276;0,99984
277;0,9998
278;0,99979
279;0,99971
280;0,99969
281;0,99963
282;0,99963
283;0,99961
284;0,99959
285;0,99957
286;0,99954
287;0,99954
288;0,99952
289;0,99954
290;0,99945
291;0,99946
292;0,99947
293;0,99945
294;0,99943
295;0,99943
296;0,99942
297;0,9994
298;0,99934
299;0,99933
300;0,99931
301;0,99931
302;0,9993
303;0,9993
304;0,99932
305;0,99932
306;0,99932
307;0,99933
308;0,99938
309;0,99933
310;0,99933
311;0,9993
312;0,99918
313;0,99916
314;0,99914
315;0,99914
316;0,99911
317;0,99909
318;0,99907
319;0,99904
320;0,99905
321;0,99905
322;0,99901
323;0,99904
324;0,99899
325;0,999
326;0,99898
327;0,99896
328;0,99894
329;0,99895
330;0,99892
331;0,9989
332;0,99888
333;0,99887
334;0,99888
335;0,99886
336;0,99884
337;0,99884
338;0,99883
339;0,99885
340;0,99885
341;0,99885
342;0,99884
343;0,99883
344;0,99884
345;0,99882
346;0,99881
347;0,99875
348;0,99696
349;0,997
350;0,99698
351;0,99696
352;0,99682
353;0,99679
354;0,9968
355;0,9968
356;0,9968
357;0,99681
358;0,99677
359;0,99677
360;0,99677
361;0,99671
362;0,99668
363;0,99669
364;0,99668
365;0,99665
366;0,99663
367;0,99663
368;0,99666
369;0,99663
370;0,99664
371;0,99663
372;0,99639
373;0,99636
374;0,99633
375;0,9963
376;0,98587
377;0,98592
378;0,98592
379;0,98588
380;0,98588
381;0,98589
382;0,98586
383;0,98589
384;0,98585
385;0,98588
386;0,98589
387;0,98585
388;0,98589
389;0,98587
390;0,98587
391;0,98587
392;0,98583
393;0,98583
394;0,9858
395;0,98584
396;0,98589
397;0,98584
398;0,98576
399;0,98577
400;0,98585
401;0,98586
402;0,9858
403;0,98577
404;0,98576
405;0,98575
406;0,98573
407;0,98581
408;0,98581
409;0,98575
410;0,98579
411;0,9858
412;0,9858
413;0,98582
414;0,98578
415;0,98579
416;0,98584
417;0,98575
418;0,98577
419;0,98576
420;0,9856
421;0,98564
422;0,98563
423;0,98563
424;0,98559
425;0,98561
426;0,98563
427;0,98561
428;0,98557
429;0,98559
430;0,98559
431;0,98559
432;0,98561
433;0,98563
434;0,98558
435;0,98558
436;0,98559
437;0,98557
438;0,98558
439;0,98555
440;0,9856
441;0,9856
442;0,9856
443;0,98564
444;0,98564
445;0,98561
446;0,9856
447;0,98556
448;0,98558
449;0,98556
450;0,98561
451;0,98559
452;0,98557
453;0,98556
454;0,98555
455;0,98556
456;0,9855
457;0,98552
458;0,98551
459;0,98551
460;0,98559
461;0,98554
462;0,98553
463;0,98561
464;0,98562
465;0,98561
466;0,98553
467;0,98553
468;0,98552
469;0,9856
470;0,98561
471;0,9856
472;0,98551
473;0,98551
